Name;CodIBGE;Categoria;Longitude;Latitude
PORTO VERA CRUZ;4315073;CIDADE;-54.8990318240447;-27.7343739186307
CAIBATÉ;4303301;CIDADE;-54.63788670420869;-28.2910748183788
SÃO MIGUEL DAS MISSÕES;4319158;CIDADE;-54.5615630937001;-28.5495371207205
VITÓRIA DAS MISSÕES;4323754;CIDADE;-54.4990548870704;-28.352387248462
ENTRE-IJUÍS;4306932;CIDADE;-54.2714318511947;-28.3627942771102
SANTO ÂNGELO;4317509;CIDADE;-54.2641427984269;-28.3019378725592
ROLADOR;4315958;CIDADE;-54.81942697541041;-28.2563442165406
SÃO PEDRO DO BUTIÁ;4319372;CIDADE;-54.8882559534463;-28.1243539010572
SALVADOR DAS MISSÕES;4316477;CIDADE;-54.8377420188123;-28.1216974443491
CERRO LARGO;4305207;CIDADE;-54.7399972398551;-28.1478408761664
CAMPINA DAS MISSÕES;4303707;CIDADE;-54.8453289508288;-27.9916900276177
MATO QUEIMADO;4312179;CIDADE;-54.6168368777268;-28.2558159862253
UBIRETAMA;4322343;CIDADE;-54.68451077622811;-28.0435647649493
CÂNDIDO GODÓI;4304309;CIDADE;-54.7528340428941;-27.9513180673193
ALECRIM;4300307;CIDADE;-54.7670962217407;-27.6610744570253
SANTO CRISTO;4317905;CIDADE;-54.66874789529041;-27.8199297338217
GUARANI DAS MISSÕES;4309506;CIDADE;-54.56055592966089;-28.1417792565601
SETE DE SETEMBRO;4320578;CIDADE;-54.4636861823155;-28.130416322586
SENADOR SALGADO FILHO;4320321;CIDADE;-54.5454030325181;-28.0274895006135
GIRUÁ;4309001;CIDADE;-54.3508400776839;-28.02974437211361
SANTA ROSA;4317202;CIDADE;-54.4782240987609;-27.8667497981428
TUPARENDI;4322301;CIDADE;-54.47850807532731;-27.7540889265205
PORTO MAUÁ;4315057;CIDADE;-54.671951891498;-27.5786353592823
NOVO MACHADO;4313425;CIDADE;-54.5033844145301;-27.5784006498033
TUCUNDUVA;4322103;CIDADE;-54.43312866883421;-27.6500599325816
DOUTOR MAURÍCIO CARDOSO;4306734;CIDADE;-54.3582679905268;-27.509212612939
HORIZONTINA;4309605;CIDADE;-54.3087915108958;-27.6300969129048
JÓIA;4311155;CIDADE;-54.11596489702111;-28.6456235338337
EUGÊNIO DE CASTRO;4307831;CIDADE;-54.1481126184862;-28.5250597618185
AUGUSTO PESTANA;4301503;CIDADE;-53.98947008072259;-28.5133519883222
CORONEL BARROS;4305871;CIDADE;-54.0736624302888;-28.3845408578866
BOA VISTA DO CADEADO;4302220;CIDADE;-53.81373463511491;-28.5774344746874
IJUÍ;4310207;CIDADE;-53.918066835708;-28.3885365401951
BOZANO;4302584;CIDADE;-53.7724021387641;-28.3662899394048
PEJUÇARA;4314308;CIDADE;-53.6565423317738;-28.421586063368
CATUÍPE;4305009;CIDADE;-54.0123868476744;-28.2542344716743
INDEPENDÊNCIA;4310405;CIDADE;-54.1881083345896;-27.847331557287
TRÊS DE MAIO;4321808;CIDADE;-54.23530220754671;-27.7796602181189
SÃO JOSÉ DO INHACORÁ;4318499;CIDADE;-54.133550202739;-27.7225845665545
BOA VISTA DO BURICÁ;4302204;CIDADE;-54.1094812552698;-27.671566996006
INHACORÁ;4310413;CIDADE;-54.012545591408;-27.8804544575624
ALEGRIA;4300455;CIDADE;-54.0573664131385;-27.8372999555906
CHIAPETTA;4305405;CIDADE;-53.9457497023822;-27.9173647532266
SÃO VALÉRIO DO SUL;4319737;CIDADE;-53.9355261513435;-27.7877181691053
SÃO MARTINHO;4319109;CIDADE;-53.9669227230418;-27.7089288013511
AJURICABA;4300208;CIDADE;-53.77281888998731;-28.2377290059022
NOVA RAMADA;4313334;CIDADE;-53.7069373378916;-28.082644871621
